activity_name,category
Chicken for slaughtering - live weight (market for chicken for slaughtering - live weight),Livestock Farming
Frozen green beans,Arable Farming
Framing contractors,Construction
Crude and diluted bitumen,Fuel
Antimony slag water-quenched (market for antimony slag water-quenched),Waste Management
Higher education,Education
Drugs and druggists' sundries merchant wholesalers,Wholesale Trade
Psychiatric and substance abuse hospitals,Health Care
Iron non-alloy steel - bars rods hot-rolled drawn extruded forgings,Metals
Grape (market for grape),Arable Farming
Yarn - cotton (market for yarn - cotton),Textiles
Rape seed (market group for rape seed),Arable Farming
Aluminium - Oceania,Metals
Fabric coating mills,Furnishings and Household
Notebook - Lenovo Yoga Creator 7 15.6 inches,Electronics
Maintenance - lorry 16 metric ton (market for maintenance - lorry 16 metric ton),Vehicles
Sewerage services,Water Treatment
Hotels (except casino hotels) and motels,Accommodation
Samarium oxide (market for samarium oxide),Mined Materials
Concrete PAV1 with 15% PFA cement,Building Materials
Lamb,Livestock Farming
Water,Water Supply
Soybean seed - organic - for sowing (market for soybean seed - organic - for sowing),Arable Farming
Gas power plant - 100mw electrical (market for gas power plant - 100MW electrical),Construction
Electric kettle (market for electric kettle),Electrical Equipment
Concrete - 50% ggbs cement replacement - with total cementitious content of 260 kg per m3 of concrete,Building Materials
Bottom ash MSWI[F]-WWT-SLF municipal solid waste (market for bottom ash MSWI[F]-WWT-SLF municipal solid waste),Waste Management
Machinery for mining,Machinery
Concrete - 40% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,Building Materials
Stibnite concentrate (market for stibnite concentrate),Mined Materials
Elevator basic component (independent of floor),Machinery
Board (Primary material production),Paper and Cardboard
Bottom ash MSWI-WWT[R] WW from anaerobic digestion of whey (market for bottom ash MSWI-WWT[R] WW from anaerobic digestion of whey),Waste Management
Soybeans (soymilk),Food/Beverages/Tobacco
Milk chocolate PP wrapping,Food/Beverages/Tobacco
Sewage sludge 70% water WWT-SLF wood ash mixture pure (market for sewage sludge 70% water WWT-SLF wood ash mixture pure),Waste Management
Funds/trusts and financial vehicles,Financial Services
Crop harvesting/primarily by machine,Agriculture/Hunting/Forestry/Fishing
Takeaway meal,Food/Beverages/Tobacco
Liability and other property and casualty insurance services,Insurance Services
Cement - limestone 21-35% (market for cement - limestone 21-35%),Building Materials
Sewage sludge 97% water WWT WW average (market for sewage sludge 97% water WWT WW average),Waste Management
Other guided missile and space vehicle parts and auxiliary equipment manufacturing,Vehicle Parts
Cookies/crackers/pastas and tortillas,Food/Beverages/Tobacco
Wastewater - unpolluted - from residence (market for wastewater - unpolluted - from residence),Water Treatment
Light-weight sand expanded clay,Building Materials
Frozen onions,Arable Farming
Inverter 2.5kW,Electrical Equipment
Gambling (net wagers),Recreation and Culture
Broadwoven fabric mills,Furnishings and Household
Biodiesel - rapeseed,Fuel
Landed hake - fresh (market for landed hake - fresh),Fishing/Aquaculture/Hunting
Castor bean (market for castor bean),Arable Farming
Tower silo - plastic (market for tower silo - plastic),Storage
Concrete - 70% ggbs cement replacement - with total cementitious content of 180 kg per m3 of concrete,Building Materials
Women's clothing (excluding headwear and neckwear),Clothing and Footwear
Masonry blocks made of lightweight concrete from natural aggregates - solid block heavy,Building Materials
Repair and maintenance of aircraft and spacecraft,Vehicle Maintenance and Services
Processed cabbage,Food/Beverages/Tobacco
Trichloroethylene (market for trichloroethylene),Chemical Products
Geothermal power plant - hot-dry-rock (market for geothermal power plant - Hot-Dry-Rock),Construction
Concrete RC28/35 with 70% GGBS cement,Building Materials
Blower and heat exchange unit - twl-700 (market for blower and heat exchange unit - Twl-700),Machinery
Borehole heat exchanger - 150m (market for borehole heat exchanger - 150m),Machinery
Residues MSWI[F] waste plastic industrial electronics (market for residues MSWI[F] waste plastic industrial electronics),Waste Management
Sewage sludge 75% water WWT WW from CRT production (market for sewage sludge 75% water WWT WW from CRT production),Waste Management
Aluminium (primary German-produced),Metals
Petrochemicals,Chemical Products
Natural gas,Fuel
Oil / hazardous waste for treatment: incineration,Waste Management
Dairy products,Food/Beverages/Tobacco
Natural gas - low pressure (market for natural gas - low pressure),Fuel
Grantmaking foundations,Non-profit Activities
All other miscellaneous electrical equipment and component manufacturing,Electrical Equipment
Other pressed and blown glass and glassware manufacturing,Plastics and Rubber Products
Starches,Food/Beverages/Tobacco
Building - multi-storey (market for building - multi-storey),Construction
Custom architectural woodwork and millwork manufacturing,Furnishings and Household
Lutetium oxide (market for lutetium oxide),Metals
Navy bean (market for navy bean),Arable Farming
Concrete GEN1 with average UK additions cement,Building Materials
Drinking places (alcoholic beverages),Food and Beverage Services
Spirits and liqueurs consumed on licensed premises,Food/Beverages/Tobacco
Office and store fixtures,Furnishings and Household
Ventilation system - decentralized - 6 x 120 m3/h - steel ducts (market for ventilation system - decentralized - 6 x 120 m3/h - steel ducts),Construction
Pesticide and other agricultural chemical manufacturing,Chemical Products
Concrete - 30% pfa cement replacement - with total cementitious content of 280 kg per m3 of concrete,Building Materials
Paper (except newsprint) mills,Paper Products
Lubricating oil,Fuel
Vehicles and parts sales,Vehicle Parts
Graphite - battery grade (market for graphite - battery grade),Chemical Products
Steel - hot-dip galvanized steel,Metals
Allyl chloride (market for allyl chloride),Chemical Products
Fabricated steel plate and other fabricated structural metal,Fabricated Metal Products
Stalk (market for stalk),Arable Farming
Wood wool boards - cement bonded (market for wood wool boards - cement bonded),Timber and Forestry Products
Processed sweet corn,Food/Beverages/Tobacco
Railroad rolling stock,Vehicles
Cement CP IV (market for cement CP IV),Building Materials
Timber - MDF - No Carbon Storage,Timber and Forestry Products
Battery management system - for li-ion battery (market for battery management system - for Li-ion battery),Electronics
Mechanical power transmission equipment,Machinery
Medical laboratory diagnostic and testing services,Health Care
All other miscellaneous fabricated metal product manufacturing,Fabricated Metal Products
Steel - hollow drill bars rods - forgings,Metals
Fibre - cotton - organic (market for fibre - cotton - organic),Arable Farming
Furnace - logs - hardwood storage area - 100kw (market for furnace - logs - hardwood storage area - 100kW),Storage
Phosphate rock mining,Mined Materials
Para-phenylene diamine (market for para-phenylene diamine),Chemical Products
Raw milk,Livestock Farming
Heat and power co-generation unit - 6400kw thermal - building (market for heat and power co-generation unit - 6400kW thermal - building),Construction
Train - passenger - high speed (market for train - passenger - high speed),Vehicles
Drinking water pipe PB,Plastics and Rubber Products
Petrol - unleaded (market for petrol - unleaded),Fuel
Silicon - single crystal - czochralski process - electronics (market for silicon - single crystal - Czochralski process - electronics),Chemical Products
Dichloromethane (market for dichloromethane),Chemical Products
Low voltage system - for li-ion battery (market for low voltage system - for Li-ion battery),Electronics
Double salts ammonium sulphate / nitrate,Chemical Products
Aerated concrete P4 05 reinforced,Building Materials
Escalator basic component (dependent on lifting height),Machinery
Rail transport,Rail Freight
Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing,Machinery
Cationic resin (market for cationic resin),Chemical Products
Bauxite (market for bauxite),Mined Materials
Chromium oxide - flakes (market for chromium oxide - flakes),Chemical Products
Eucalyptus seedling - for planting (market for eucalyptus seedling - for planting),Timber and Forestry Products
Shale brick (market for shale brick),Mined Materials
Custom compounding of purchased resins,Chemical Products
Rubber and plastic hoses and belts,Plastics and Rubber Products
Furnace - wood chips - with silo - 1000kw (market for furnace - wood chips - with silo - 1000kW),Machinery
